Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,4.5107922395476905,tensor(1.6760),4.453124849319458,tensor(1.8700)
1,4.373306518320537,tensor(2.2840),9.853914891242981,tensor(1.4000)
2,4.286037723121741,tensor(2.8840),6.599776603221893,tensor(1.6600)
3,4.252381591845657,tensor(3.0640),4.275507843017578,tensor(3.0400)
4,4.234070901065836,tensor(3.1100),5.088692077636718,tensor(1.1400)
5,4.225086935340901,tensor(3.2080),4.947469742536545,tensor(1.3800)
6,4.224438092897615,tensor(3.1840),14.364916323661804,tensor(1.6000)
7,4.208384715077822,tensor(3.2500),4.208764541387558,tensor(3.6700)
8,4.200660884837665,tensor(3.5060),7.089416518211364,tensor(1.6600)
9,4.189783802422721,tensor(3.5700),8.513849081039428,tensor(1.3000)
10,4.178157363096466,tensor(3.5640),5.32744173336029,tensor(1.3000)
11,4.1772486218406115,tensor(3.6980),5.3482413973808285,tensor(1.1600)
12,4.171216742766788,tensor(3.6260),4.240524073839188,tensor(3.2300)
13,4.162521479379795,tensor(3.6360),4.776714499235153,tensor(1.6900)
14,4.159746256020978,tensor(3.7440),5.161932499885559,tensor(1.2600)
15,4.153115234106703,tensor(3.8580),4.189913946628571,tensor(3.6100)
16,4.150127864554715,tensor(3.8960),5.602247231483459,tensor(1.4900)
17,4.092902343291456,tensor(4.6580),4.460623795747757,tensor(2.4400)
18,4.032100095773292,tensor(5.5640),4.368140089988708,tensor(3.1300)
19,4.00407471986073,tensor(5.9180),4.1425952277183535,tensor(5.2800)
20,3.97725172055042,tensor(6.5000),4.294674833774566,tensor(4.0600)
21,3.942834157163225,tensor(6.8480),4.296849727392197,tensor(4.7500)
22,3.899338263075065,tensor(7.6120),4.679809657096863,tensor(3.2600)
23,3.8513553636458218,tensor(8.4180),4.389647481918335,tensor(5.0200)
24,3.780207747388679,tensor(9.4240),4.481926369905472,tensor(5.8400)
25,3.6197527528114026,tensor(12.1320),3.5676176698207853,tensor(13.4900)
26,3.3753114033233174,tensor(16.9440),3.5163600521087646,tensor(15.8200)
27,3.0844637737859544,tensor(22.6860),7.3125417788028715,tensor(5.1500)
28,2.777557206580706,tensor(29.1740),3.7547402424812315,tensor(15.2400)
29,2.5044798948575773,tensor(34.9240),2.947377566099167,tensor(28.2400)
30,2.263788028751188,tensor(40.4400),3.2609679753780365,tensor(22.8300)
31,2.0796787705262907,tensor(44.6140),3.221137882232666,tensor(25.3600)
32,2.641865412597461,tensor(35.3880),4.626543914318085,tensor(1.)
33,4.572019572148237,tensor(1.7000),4.609907521247864,tensor(1.)
34,4.611450474585413,tensor(0.9700),4.609309128284455,tensor(1.)
35,4.611055537562846,tensor(0.9020),4.608159924507141,tensor(1.)
36,4.609993916338362,tensor(0.9740),4.608383855342865,tensor(1.)
37,4.609945957008225,tensor(0.9700),4.607545349121094,tensor(1.)
38,4.6092830021363085,tensor(0.9840),4.606998216629028,tensor(1.)
39,4.608786445139619,tensor(0.9660),4.606445672035218,tensor(1.)
40,4.608265742621459,tensor(0.9340),4.636461671352387,tensor(1.)
41,3.3222206114503123,tensor(23.1260),6.9858565859794615,tensor(1.)
42,2.0356060382350325,tensor(46.6900),5.961342693328858,tensor(1.)
43,1.8415484102180852,tensor(50.6460),5.807724993705749,tensor(1.)
44,1.7254093330534523,tensor(52.9040),7.6598910694122315,tensor(1.)
45,3.053429939252946,tensor(29.5100),7.2684240479469295,tensor(1.)
46,4.6160972624483625,tensor(0.9920),4.618058384895325,tensor(1.)
47,4.613359868374017,tensor(0.9720),4.61010045003891,tensor(1.)
48,2.788014768029723,tensor(34.5420),7.755215627193451,tensor(1.)
49,3.77497597149266,tensor(16.7240),4.763480111122131,tensor(1.)
