Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,3.5904415056223757,tensor(14.8980),3.098428734898567,tensor(22.0600)
1,2.709371946047029,tensor(30.3760),2.510964408993721,tensor(33.9400)
2,2.1911670329320767,tensor(41.3560),2.154239279687405,tensor(41.5500)
3,1.8613018718217036,tensor(48.9260),1.9171226508915424,tensor(47.6000)
4,1.6418630686562385,tensor(54.2740),1.703119243323803,tensor(53.1000)
5,1.466868239595457,tensor(58.6580),1.563752930700779,tensor(56.8700)
6,1.3382070372476602,tensor(61.9460),1.4049519485384225,tensor(60.5500)
7,1.2366415614362263,tensor(64.4780),1.4140788595229388,tensor(60.0900)
8,1.1491354132247398,tensor(67.1780),1.3081667685210705,tensor(62.4100)
9,1.0737029326236462,tensor(68.8480),1.2998925896510483,tensor(63.1700)
10,0.9985275513985578,tensor(71.0980),1.2752411777712405,tensor(64.7800)
11,0.9353594060444161,tensor(72.7180),1.247923516780138,tensor(64.2900)
12,0.8879048275520735,tensor(74.1100),1.2269492797069252,tensor(64.7600)
13,0.8426819411689973,tensor(75.3140),1.2307208139449357,tensor(65.3400)
14,0.7913511041790018,tensor(76.7360),1.2160005371589213,tensor(66.5700)
15,0.7585813352823867,tensor(77.6620),1.2283422232232988,tensor(66.1200)
16,0.7066733494896413,tensor(79.1380),1.2067649020664395,tensor(66.5800)
17,0.6827026812926583,tensor(79.6540),1.2246012993827462,tensor(66.6300)
18,0.6465849807805113,tensor(80.6420),1.175711152214557,tensor(67.8700)
19,0.616153888461535,tensor(81.6860),1.1972035421971232,tensor(67.0900)
20,0.5962802732692045,tensor(82.2220),1.143302533948794,tensor(68.7300)
21,0.5637631683855715,tensor(83.2740),1.1664964289851487,tensor(68.2100)
22,0.5493154444962817,tensor(83.6900),1.1576361510045827,tensor(68.2500)
23,0.5234335975726242,tensor(84.4460),1.188011309992522,tensor(68.5100)
24,0.5056972771959232,tensor(85.0640),1.2030005222968758,tensor(68.1100)
25,0.4883980495698007,tensor(85.3600),1.1768696596883237,tensor(69.0100)
26,0.47561065361018073,tensor(85.8400),1.1823073818460106,tensor(68.6200)
27,0.46109924257716256,tensor(86.3360),1.2179309541936965,tensor(67.9800)
28,0.43997811783305213,tensor(87.0580),1.2184241787269712,tensor(67.7000)
29,0.43674737100710953,tensor(86.9980),1.2144807366132737,tensor(67.8800)
30,0.4235611243930924,tensor(87.5840),1.1653277411479503,tensor(69.9100)
31,0.4130353827381988,tensor(87.7300),1.191967911974527,tensor(68.6800)
32,0.410325777614513,tensor(87.8560),1.2438345136158169,tensor(67.7800)
33,0.4017951720587128,tensor(88.1080),1.1508845196524635,tensor(69.8000)
34,0.39420482927880934,tensor(88.2880),1.2122144609680399,tensor(68.7200)
35,0.3781584511556284,tensor(88.7800),1.2652981663718819,tensor(68.4700)
36,0.3623159446222398,tensor(89.1080),1.226448778104037,tensor(68.8300)
37,0.36858747057292773,tensor(88.9720),1.2502462665904313,tensor(68.2000)
38,0.35709472739940407,tensor(89.5380),1.2052612145002932,tensor(69.4500)
39,0.36687589240500995,tensor(89.1280),1.2562537005972116,tensor(68.3100)
40,0.3447835118416935,tensor(89.9100),1.2008890465025324,tensor(69.4400)
41,0.3508682787570807,tensor(89.7360),1.2256820473000407,tensor(68.7200)
42,0.3412302668061098,tensor(89.9480),1.2180398471150546,tensor(68.9300)
43,0.3241978949674255,tensor(90.5000),1.2738260181676597,tensor(68.0600)
44,0.33018528233708627,tensor(90.4260),1.225223491884768,tensor(69.0200)
45,0.322174491822872,tensor(90.5360),1.244776740306057,tensor(69.0900)
46,0.329651095830571,tensor(90.2820),1.217914290547138,tensor(69.3800)
47,0.30416100073958297,tensor(91.0580),1.2783389098420739,tensor(68.4500)
48,0.32861387043657814,tensor(90.2620),1.1962082452829927,tensor(70.)
49,0.3110003741958257,tensor(90.7680),1.2207562033552677,tensor(69.7100)
50,0.304016911884403,tensor(91.0740),1.2435911278193816,tensor(68.9500)
51,0.2964008310642999,tensor(91.3800),1.238746345974505,tensor(68.9600)
52,0.3126484015408684,tensor(90.8580),1.2007716565048323,tensor(70.0500)
53,0.306443517089195,tensor(90.9860),1.2560139561332762,tensor(69.0400)
54,0.3021082928799607,tensor(91.1000),1.2635628117136657,tensor(68.7800)
55,0.29161831953793843,tensor(91.4160),1.2801905717884656,tensor(68.1100)
56,0.282424351138532,tensor(91.7680),1.3150624322732911,tensor(68.)
