Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,3.643703957652802,tensor(13.5240),3.2272633370161055,tensor(19.9300)
1,2.6917675925642635,tensor(30.5960),2.370296190083027,tensor(36.8000)
2,2.1301208807684273,tensor(42.7840),2.100400849401951,tensor(43.2000)
3,1.8161292487703016,tensor(50.1080),1.8608619543910025,tensor(49.3300)
4,1.5932502764875016,tensor(55.3420),1.7442250608205796,tensor(52.3600)
5,1.4390994035984244,tensor(59.3720),1.5562910782396793,tensor(56.5300)
6,1.3177892606886452,tensor(62.6340),1.4629048908799887,tensor(58.8600)
7,1.2156225881918008,tensor(65.4480),1.3965027836076915,tensor(60.4600)
8,1.128864865778657,tensor(67.4500),1.3164135789722204,tensor(62.1700)
9,1.0610840152901457,tensor(69.3100),1.3477652438543737,tensor(61.9400)
10,0.9993247555954682,tensor(71.0680),1.3398806496858597,tensor(62.7700)
11,0.9404329643834888,tensor(72.5180),1.2832873669192195,tensor(64.2200)
12,0.8837242572356367,tensor(74.2880),1.229190311588347,tensor(65.3500)
13,0.8365901409817473,tensor(75.4100),1.212782806744799,tensor(65.7300)
14,0.7947412052422839,tensor(76.6500),1.2486785465851427,tensor(64.9100)
15,0.7583559612026605,tensor(77.6240),1.2283626931607723,tensor(66.1900)
16,0.7335297709230877,tensor(78.1260),1.1732431715875864,tensor(66.9200)
17,0.6903809482789101,tensor(79.4400),1.207525743675884,tensor(66.3700)
18,0.6647266596936814,tensor(80.1580),1.152815276928246,tensor(67.8200)
19,0.635015082557488,tensor(81.1220),1.1918901396701111,tensor(67.4600)
20,0.6091332309843634,tensor(81.9780),1.1857076119370757,tensor(67.7200)
21,0.5827488098912836,tensor(82.7600),1.149108220361173,tensor(68.9100)
22,0.5523395333296198,tensor(83.3780),1.186662162868306,tensor(67.6500)
23,0.5464690853567684,tensor(83.6100),1.1682099126745016,tensor(68.6000)
24,0.5271508129661345,tensor(84.1980),1.1444645865149796,tensor(69.2000)
25,0.5006744690868251,tensor(85.2700),1.1842968462985008,tensor(68.4500)
26,0.4854335746801723,tensor(85.5140),1.2205289809554816,tensor(67.6800)
27,0.490215198234524,tensor(85.3340),1.1912234636750072,tensor(68.1800)
28,0.4754133601780133,tensor(85.8020),1.2153904926180839,tensor(68.0200)
29,0.46173253792631047,tensor(86.1200),1.14034441729635,tensor(69.0900)
30,0.456060484699581,tensor(86.4880),1.2055145542398096,tensor(68.1600)
31,0.4408993011011797,tensor(86.9060),1.2259156549142207,tensor(67.9500)
32,0.4319540913909902,tensor(87.0460),1.1735091997273266,tensor(68.7800)
33,0.43214327161726745,tensor(87.0620),1.2145360213331877,tensor(68.5900)
34,0.4137661133123481,tensor(87.7440),1.1863220304474233,tensor(68.8500)
35,0.4027236718732073,tensor(88.0960),1.1712214833698236,tensor(69.6400)
36,0.39688953216118583,tensor(88.3220),1.1790477051958441,tensor(69.2600)
37,0.3919796118955783,tensor(88.2540),1.2086506964825094,tensor(69.4400)
38,0.3863145869101405,tensor(88.4800),1.1542457643062807,tensor(70.6000)
39,0.37771856167432294,tensor(88.9120),1.1911982647981494,tensor(69.4600)
40,0.3834348907098746,tensor(88.7220),1.2158627608604728,tensor(69.6600)
41,0.3693216628659412,tensor(89.0500),1.1469646125109867,tensor(70.4100)
42,0.3848573088722156,tensor(88.6020),1.1834199056271464,tensor(69.5200)
43,0.37332462086854384,tensor(89.0860),1.221558408640325,tensor(68.8000)
