Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,4.271207583834753,tensor(3.2060),4.376754558324814,tensor(3.2200)
1,4.029893009863851,tensor(5.7720),4.264266114234925,tensor(5.8000)
2,3.594740062723379,tensor(12.2580),3.5163171380758285,tensor(14.4900)
3,2.9197137233851205,tensor(25.1000),2.7347392417192458,tensor(28.9400)
4,2.3615969605458056,tensor(37.1640),2.2435646678209307,tensor(39.7600)
5,1.9961939104987532,tensor(45.7840),1.9867382547557353,tensor(45.9200)
6,1.7438884799742638,tensor(51.7380),1.9344320419728755,tensor(48.0200)
7,1.5629210097100728,tensor(56.1560),1.659302524060011,tensor(53.6100)
8,1.4224447765008872,tensor(59.9300),1.5546135708540678,tensor(55.8600)
9,1.3102423394732463,tensor(62.6440),1.4047472687363625,tensor(59.9000)
10,1.2108397645413722,tensor(65.5520),1.376412031777203,tensor(60.8100)
11,1.132429119723532,tensor(67.4060),1.3419369300901889,tensor(62.1900)
12,1.0642549884898582,tensor(69.1760),1.3392439357340336,tensor(62.3100)
13,0.9978828754876276,tensor(71.0360),1.342899609170854,tensor(62.9800)
14,0.9386496024058603,tensor(72.7160),1.2950616796314716,tensor(62.9000)
15,0.8990015539976642,tensor(73.9300),1.220031680908054,tensor(65.6400)
16,0.8473457608686383,tensor(75.3140),1.229047094302252,tensor(65.9300)
17,0.8075837991426668,tensor(76.1520),1.274409332074225,tensor(64.9200)
18,0.7691925369260256,tensor(77.2420),1.2318564467467368,tensor(66.1600)
19,0.7359415425364014,tensor(78.3900),1.196970545321703,tensor(66.6000)
20,0.6989835977859205,tensor(79.2880),1.2174058455862105,tensor(66.4600)
21,0.6788677080817844,tensor(79.8900),1.112051288453862,tensor(68.9600)
22,0.6487888074896829,tensor(80.6280),1.1437511986573228,tensor(68.3200)
23,0.6189926874911998,tensor(81.7180),1.19524877512455,tensor(67.)
24,0.6009396567673939,tensor(82.2720),1.1869374545942992,tensor(68.3300)
25,0.5777982944417792,tensor(82.8600),1.1962072684802114,tensor(68.0600)
26,0.5692511531703003,tensor(83.1720),1.1645444365749136,tensor(68.2600)
27,0.5466412164823479,tensor(83.9660),1.1655990324094891,tensor(69.0700)
28,0.5332315451348834,tensor(84.2640),1.1787609057342634,tensor(67.6600)
29,0.5227411249866876,tensor(84.6260),1.182282369825989,tensor(68.4600)
30,0.5087359427948437,tensor(85.0280),1.1881242597959936,tensor(68.6800)
31,0.49681029249640074,tensor(85.4580),1.1602872267612256,tensor(68.9200)
32,0.4860546239806563,tensor(85.5860),1.1372879953458905,tensor(69.3200)
33,0.47498594472170486,tensor(85.9180),1.1751731316670775,tensor(68.8600)
34,0.46481554191130814,tensor(86.0880),1.1170350685622543,tensor(70.2800)
35,0.44851048843330127,tensor(86.6320),1.1654844386801124,tensor(69.0400)
36,0.4421152608550113,tensor(86.9040),1.1158128761406987,tensor(70.2200)
37,0.4353211647485528,tensor(87.1000),1.1898276298083366,tensor(69.0900)
38,0.4344436159676603,tensor(87.0760),1.1720766886151395,tensor(68.6800)
39,0.4350770366237596,tensor(87.1260),1.1641308079324664,tensor(68.6600)
40,0.426468508780155,tensor(87.4180),1.2136473404038697,tensor(68.7600)
41,0.4161701904385901,tensor(87.7400),1.1495248704403638,tensor(69.8300)
42,0.40708884509170756,tensor(87.8440),1.1927475418504327,tensor(69.4200)
43,0.4152560948258471,tensor(87.6300),1.1811189584415407,tensor(69.4800)
44,0.39984173722126903,tensor(88.2280),1.1745341998068617,tensor(70.0100)
45,0.3987394118934031,tensor(88.2620),1.1774514496810735,tensor(69.3300)
46,0.38747619355426116,tensor(88.6860),1.1994492129529826,tensor(69.1800)
47,0.3888780348517401,tensor(88.6380),1.1965838621268048,tensor(69.7200)
48,0.38733897142855406,tensor(88.5040),1.2695010534962639,tensor(67.4000)
49,0.38449676258637167,tensor(88.7760),1.249386919958517,tensor(68.8400)
50,0.376043066268077,tensor(88.9600),1.2156152559667825,tensor(69.4300)
51,0.3792538780080693,tensor(88.9020),1.1896620995765552,tensor(69.6000)
52,0.3673657955568465,tensor(89.2060),1.2922099652821197,tensor(67.0500)
53,0.36953560443942807,tensor(89.1520),1.2222643018765376,tensor(69.2200)
54,0.3735654257676181,tensor(89.0920),1.1940083325137385,tensor(69.8500)
55,0.3696296401417164,tensor(89.2480),1.1556780281420798,tensor(70.0700)
56,0.36294524245859716,tensor(89.3680),1.2177625125274063,tensor(68.7700)
57,0.355064799947202,tensor(89.6120),1.1815575471930206,tensor(69.6600)
58,0.3534799191119421,tensor(89.6660),1.2108977416250855,tensor(69.4100)
59,0.3568804587435235,tensor(89.7500),1.1614717859802768,tensor(70.1300)
60,0.3547857856125478,tensor(89.4600),1.24136677559698,tensor(69.2000)
61,0.3440568975322997,tensor(89.9240),1.2264330304302276,tensor(69.3600)
62,0.34786038638075906,tensor(89.8680),1.2800589513108134,tensor(68.2800)
63,0.35088664209446335,tensor(89.8300),1.2352332381159068,tensor(68.9300)
64,0.34155206332731125,tensor(90.0320),1.172166582220234,tensor(70.4800)
65,0.33540470478937146,tensor(90.3620),1.2007806755295023,tensor(69.7200)
66,0.34389488082712566,tensor(90.0140),1.1824287674427032,tensor(70.0700)
67,0.34215715878150044,tensor(89.8680),1.2563370528947562,tensor(69.1200)
68,0.33171835027234936,tensor(90.2260),1.1785605102442205,tensor(70.4300)
69,0.33281945301901045,tensor(90.3760),1.1805625215228648,tensor(70.1800)
70,0.3304568576767012,tensor(90.5080),1.2107079478828235,tensor(70.2600)
71,0.33533743542173633,tensor(90.1680),1.195884332077112,tensor(70.1200)
72,0.325035319951794,tensor(90.5280),1.1722030488373711,tensor(70.3300)
73,0.327964563351458,tensor(90.5880),1.1971968942182138,tensor(70.3200)
74,0.3265851295893759,tensor(90.5240),1.2332473035585134,tensor(70.1200)
75,0.3263977503456423,tensor(90.6220),1.245885975345038,tensor(69.3600)
76,0.3293836234551866,tensor(90.5160),1.1924181436542423,tensor(70.3500)
77,0.32302173274709745,tensor(90.6940),1.2486332194106653,tensor(69.8700)
78,0.3159880387356214,tensor(90.8100),1.2303367540836334,tensor(70.0600)
79,0.3271964745372153,tensor(90.4900),1.2610812296913936,tensor(68.6400)
80,0.32505492439202943,tensor(90.6060),1.2175262912446634,tensor(70.5000)
81,0.3187956587051797,tensor(90.8280),1.1570143214855344,tensor(71.1300)
82,0.3141016067027131,tensor(90.9780),1.233634266310837,tensor(69.6500)
83,0.32027121328408154,tensor(90.7140),1.2384431182036642,tensor(69.5500)
84,0.3151396880750461,tensor(90.9580),1.2297936986857094,tensor(69.5600)
85,0.3089064030010072,tensor(91.3180),1.2694900017213075,tensor(69.3700)
86,0.3136380089975684,tensor(90.9680),1.165233929936774,tensor(70.5600)
87,0.3134381969261657,tensor(90.9360),1.2112858860203997,tensor(70.0200)
88,0.31874564232881114,tensor(90.9560),1.2075515674119814,tensor(70.1700)
