Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,4.371799020206227,tensor(2.9020),6.224340897560119,tensor(2.0200)
1,4.14753709424792,tensor(4.8200),4.252338841676712,tensor(4.3800)
2,4.016118759389424,tensor(6.1600),4.157503684520721,tensor(5.0400)
3,3.874314231335964,tensor(8.2020),3.8716779437065125,tensor(8.1900)
4,3.7273110684836306,tensor(9.7620),3.9346810021400453,tensor(8.7000)
5,3.5595229324477407,tensor(12.3200),3.9090837707519532,tensor(8.2100)
6,3.391341603930344,tensor(14.7200),3.525867849469185,tensor(12.6600)
7,3.2207784006357802,tensor(17.9300),7.010930635929108,tensor(3.5300)
8,3.05253706258886,tensor(21.2960),3.2358009268045427,tensor(19.8600)
9,2.904878184008781,tensor(24.2120),2.9532267471551896,tensor(24.2400)
10,2.7701871456087703,tensor(27.3020),3.9651698452234267,tensor(14.3800)
11,2.6613228607665547,tensor(29.5920),4.877781440734863,tensor(14.9100)
12,2.5539124359560135,tensor(32.1220),2.6481535422205926,tensor(30.0300)
13,2.4426067308391755,tensor(34.6060),3.4343598449230193,tensor(22.3200)
14,2.348552554464706,tensor(36.9140),4.605518369436264,tensor(15.0900)
15,2.282943044477107,tensor(38.5360),2.9810224698781966,tensor(26.6300)
16,2.2073416520872384,tensor(40.2360),2.527629694521427,tensor(35.5500)
17,2.148869989778075,tensor(41.5460),2.7089168303608893,tensor(32.6500)
18,2.087900686446968,tensor(43.1080),2.293156398892403,tensor(40.1800)
19,2.029189931462183,tensor(44.5460),2.2241306270360948,tensor(41.3300)
20,1.9695778810764517,tensor(46.0520),2.1609563522338866,tensor(42.4900)
21,1.9484882830353953,tensor(47.1100),3.454069901227951,tensor(25.9200)
22,1.8891993758013792,tensor(48.4140),2.869122050046921,tensor(32.9300)
23,1.8509874200577017,tensor(49.3040),2.4199042842388154,tensor(40.3800)
24,1.8071402128395218,tensor(50.3500),2.606318793118,tensor(36.1700)
25,1.7743142462142594,tensor(51.3640),2.421434621065855,tensor(39.3800)
26,1.7507114892115678,tensor(52.2460),2.1402403456866743,tensor(45.1000)
27,1.7119771324460158,tensor(53.1640),3.108500964283943,tensor(34.2200)
