Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,3.9165855466252397,tensor(8.8420),3.640860618829727,tensor(12.4700)
1,2.96372405464387,tensor(24.7120),2.6578562686443328,tensor(30.6300)
2,2.326787758056465,tensor(38.1460),2.0660694110393525,tensor(44.0400)
3,1.9540919534995427,tensor(46.8480),1.8373275392353534,tensor(49.3000)
4,1.704306542720941,tensor(52.7920),1.7683115547597408,tensor(51.5400)
5,1.529551181646869,tensor(57.1580),1.617537050485611,tensor(55.0400)
6,1.3882221164910689,tensor(60.9080),1.4464992752075196,tensor(59.1100)
7,1.2702222532018677,tensor(64.0140),1.4431246335804462,tensor(59.3900)
8,1.192274420462606,tensor(66.0060),1.3514760930165648,tensor(62.2000)
9,1.1004085039238796,tensor(68.2060),1.2985068806242197,tensor(62.5200)
10,1.035717087176145,tensor(70.1860),1.312738560937345,tensor(62.8700)
11,0.9752831477338396,tensor(71.4760),1.2552036337666213,tensor(64.2000)
12,0.9229329964693855,tensor(73.0860),1.2441576972156763,tensor(65.)
13,0.869741730372924,tensor(74.7280),1.217103227743879,tensor(65.3400)
14,0.8257566432818733,tensor(75.7800),1.26479343123734,tensor(65.2500)
15,0.7877790840233073,tensor(76.8580),1.1991231678109615,tensor(66.6300)
16,0.7431978246440059,tensor(78.0740),1.1639468530900776,tensor(66.9600)
17,0.7103897144117624,tensor(79.1620),1.1495680979471654,tensor(67.9500)
18,0.6831441552132902,tensor(79.9720),1.1732007839381695,tensor(67.3800)
19,0.6588553022545622,tensor(80.5180),1.142873560952954,tensor(68.4200)
20,0.6282267026279283,tensor(81.4600),1.134638191576116,tensor(68.5300)
21,0.6008880184129681,tensor(82.0820),1.1437013523560018,tensor(68.8200)
22,0.5816646759467357,tensor(82.8520),1.1530942182261497,tensor(68.8500)
23,0.5623249664635914,tensor(83.2680),1.1429928230512887,tensor(68.4600)
24,0.5362821039183975,tensor(84.0860),1.1375791505463422,tensor(69.3000)
25,0.5312932097088651,tensor(84.2120),1.1015758397951723,tensor(69.7800)
